"source_tab","section","event_count"
"Playlists","Profile - Playlists","813"
"Search","Playlists - Электронная","804"
,"/rod-wave/album","801"
,"Profile - Top Albums","795"
"My Library","Browse - Trending Albums","792"
"My Library","Search - Top Songs","791"
"Search","Playlists - Поп","791"
"Search","Playlists - Рок","788"
,"/country/trending-now/songs","783"
,"Recently Added","771"
"Playlists","Playlists - Workout","768"
"Browse","Playlists - Latin Playlists","764"
,"/juicewrld/song","762"
,"Playlists - Best of 2024","748"
"Feed","Profile - Top Albums","746"
,"Playlists - #ThisIsPiano","743"
,"/rnb/trending-now/songs","742"
"Browse","Charts - Top Albums","732"
,"/seyivibezmusic/album","725"
,"/heisrema/song","713"
"Search","Playlists - Sinta-se bem","708"
,"/black-sherif/song","705"
,"/hae_zy/song","704"
,"Playlists - Caribbean","702"
"Search","Playlists - Délavé","701"
"Browse","Playlists - Verified Series","701"
,"Notifications","699"
,"/ittofan/song","698"
,"/xomikasa/song","688"
"My Library","My Library - Supported","687"
,"Browse - Popular Playlists in South Africa Playlists","682"
"Playlists","Playlists - Punjabi","672"
,"Browse - Popular Playlists in Benin Playlists","669"
,"Browse - Popular Playlists in Haiti Playlists","668"
,"Playlists - R&B","657"
"Playlists","Playlists - Angry","651"
"Browse","Playlists - Electronic Playlists","650"
,"/zinoleesky/song","649"
"Search","Playlists - Спортзал","649"
"Browse","Playlists - Popular Playlists in Nigeria","634"
"Search","Playlists - Грустно","634"
"Playlists","Playlists - Artist Essentials","634"
,"My Library - For You Playlists","632"
,"Browse - Popular Playlists in Kenya Playlists","629"
,"/burna-boy/song","624"
"Browse","Playlists - Country Playlists","624"
"Playlists","Playlists - Inspiration","617"
"Search","Playlists - Foco","604"
,"/iluvsubbymen/song","597"
"Browse","Playlist Details","590"
,"/eriggapaperboi/song","588"
"Feed","Smart Share Link","584"
"Search","Charts - Top Playlists","578"
"Browse","Browse - Popular Playlists Near You Playlists","574"
"Search","Playlists - Latino","569"
,"/markcollinsjr/likes","558"
,"Playlists - Popular Playlists in Ghana","557"
,"/caravan-palace/album","557"
,"Playlists - Offline Playlists","543"
,"/drake/song","539"
"Search","Profile - Uploads","536"
,"/shallipopi/song","536"
,"/pop/songs","535"
,"/ti-blaze/song","529"
,"/xeshimu/likes","527"
"Charts","Profile - Top Albums","527"
"Playlists","Queue - Radio","526"
,"Playlists - Playlists You Might Like","523"
,"/lil-baby/song","522"
"Search","Playlists - حفلة","521"
"Playlists","Playlists - Focus","520"
,"/akstunner/album","516"
,"/wizkid/album","512"
,"Playlists - Country","504"
,"/dancehall/trending-now/songs","503"
"Search","Search - Accounts","499"
"Feed","Browse - Trending Songs","498"
,"Browse - Popular Playlists in Cameroon Playlists","494"
,"/rod-wave/song","493"
"My Library","Profile - Supported","490"
"Playlists","Playlists - Electronic","483"
"Playlists","Playlists - Offline Playlists","479"
"Search","Playlists - País","474"
,"/anashiid/song","473"
"Browse","Playlists - Best of 2024","473"
"Charts","Browse - Trending Songs","472"
,"Browse - Popular Playlists in Zimbabwe Playlists","471"
"Playlists","Profile - Favorites","465"
,"Playlists - Desi","465"
,"/king-von/song","462"
"Search","Playlists - Секс","459"
"Search","Playlists - Спать","459"
,"/dancehall/songs","458"
,"/suicide-boys/song","453"
"Browse","Browse - Popular Playlists in Jamaica Playlists","451"
,"/truetruetruey/song","449"
,"/mamalakis12356/song","446"
"Browse","Browse - Popular Playlists in Liberia Playlists","443"
,"Browse - Hip-Hop/Rap Playlists","441"
"Browse","Playlists - Punjabi Playlists","441"
"Feed","Browse - Trending Albums","438"
,"/thvinyl/song","437"
"Browse","Browse - Popular Playlists in Senegal Playlists","435"
"Playlists","Playlists - Latin","434"
"Browse","Playlists - Rock Playlists","432"
,"Playlists - Gospel Playlists","430"
,"My Library - Offline Playlists","429"
"Search","Playlists - Вечеринка","424"
"Browse","Browse - Popular Playlists in Sierra Leone Playlists","423"
,"/the-izy/album","419"
,"/suicide-boys/album","418"
"Search","Playlists - Desteñido","417"
,"/rap/songs","411"
,"/shattawalenima/song","410"
"Search","Playlists - Хип-хоп","407"
,"/kendricklamar/song","407"
"Playlists","Profile - Appears On","401"
,"/nicolascostantini7/likes","398"
,"Playlists - Love","391"
,"Browse - Popular Playlists in Mali Playlists","389"
,"/about/terms-of-service","387"
,"/bella-shmurda/song","387"
"Search","Playlists - ","386"
"Playlists","Deeplink","385"
"Search","Playlists - Отдых","382"
,"/premium","377"
"Playlists","Playlists - Sleep","376"
,"/fattmack/song","370"
"Browse","Browse - What's New Playlists","366"
,"/kodakblack/song","365"
"Playlists","Search - Top Songs","362"
"Search","Playlists - Ginásio","361"
"Playlists","Playlists - Faded","360"
"Search","Playlists - Liebe","360"
,"/omah-lay/song","359"
,"Playlists - Sex","357"
,"/v-kpop/album","357"
,"Playlists - Focus","355"
,"/penta-veil/album","354"
,"Browse - Electronic Playlists Playlists","352"
,"/join","351"
"Playlists","Playlists - Mexican","351"
"Charts","Notifications","349"
,"/odumodublvck/song","348"
,"Playlists - Popular Playlists Near You","345"
,"/grace-harmony-music/song","344"
"Search","Playlists - Pendjabi","344"
,"/tojirider/song","343"
,"/teknoofficial/song","341"
"Feed","Profile - Supported","339"
,"/muslimalmisri/song","339"
,"Browse - Popular Playlists in Cote D'Ivoire Playlists","339"
,"/kizzdaniel/song","337"
,"Browse - Recently Supported","336"
,"/preciousejiro163/likes","336"
"Feed","Search - Playlists","330"
"Charts","Search - Songs","327"
,"Playlists - Global: Weekly 100","326"
,"/asakemusic/song","326"
,"World","320"
,"/lil-durk/song","317"
"Feed","Search - Songs","316"
,"/fireboydml/song","315"
,"Recent Supporters","315"
,"Browse - Caribbean Playlists Playlists","315"
"Browse","Browse - Popular Playlists in the US Playlists","314"
,"Browse - Popular Playlists in Uganda Playlists","314"
,"Playlists - Pop","313"
"Feed","Search - Top Songs","307"
,"/xxxtentacion/song","303"
"Search","Playlists - أشعر بالسعادة","303"
,"/world","297"
,"/drake/album","296"
,"/tml_vibez/song","296"
,"Browse - Country Playlists Playlists","293"
,"/moeincel/song","289"
,"/rugerofficial/album","288"
"Browse","Playlists - Pop Playlists","287"
,"/el_corizo_/song","286"
"Search","Playlists - Џез","284"
,"Playlists - Roots ","283"
,"/pop/trending-now/songs","279"
,"/latin/trending-now/songs","279"
"My Library","Profile - Premiere Access","275"
,"/juicewrld/album","275"
,"/mohbad/song","274"
"Search","Playlists - ينام","274"
,"Browse - Latin Playlists","274"
"Charts","Profile - Supported","274"
,"/mmahalia619/song","273"
,"/bakjay/song","271"
,"/abubadraljazairi/song","270"
,"/soapwithtank/likes","269"
"Search","Playlists - غاضب","268"
"Search","Playlists - Frio","268"
,"My Library - Local","266"
,"Browse - Popular Playlists in France Playlists","265"
"Playlists","Playlists - ","265"
,"/king-von/album","265"
"Search","Playlists - Любовь","264"
,"/fireboydml/album","264"
"Search","Playlists - موسيقى البوب","264"
,"/collnhlekzin-1/song","261"
,"/chella/song","261"
,"/torylanez/album","261"
,"Browse - Afrobeats Playlists","258"
,"/yungicebloom/album","256"
"Feed","Browse - Playlists You Might Like Playlists","255"
"My Library","My Library Search - Uploads","255"
,"Playlists - Electronic","253"
,"/ieatboys/song","250"
"Search","Playlists - Fitnessstudio","250"
,"/otokonoko/song","249"
,"/about/privacy-policy","249"
,"/liltunechi/song","246"
,"/anashidarchive/song","246"
"Browse","Playlists - Popular Playlists in the UK","242"
,"/rap/trending-now/albums","242"
,"Browse - Popular Playlists in Jamaica Playlists","241"
,"/world/post/you-need-to-hear-kojo-blak","240"
,"/rugerofficial/song","239"
"Charts","Search - Playlists","239"
,"/wizkid/song","238"
,"/gospel/songs","238"
"Search","Playlists - Добрий настрій","238"
,"Browse - R&B Playlists","238"
,"/world/post/you-need-to-hear-jcalm","238"
"Search","Playlists - Palestra","238"
"My Library","Search - Top Albums","236"
,"Playlists - Chill","236"
,"Browse - Pop Playlists Playlists","236"
"Browse","Browse - Popular Playlists in Mexico Playlists","235"
,"/micotoronto/album","235"
,"/lil-tony/song","234"
,"/afrobeats/albums","233"
,"/phynomusic/song","231"
,"/fashroe/song","231"
,"For You","230"
,"/kendricklamar/album","227"
"Charts","Browse - Playlists You Might Like Playlists","226"
,"/kweku-smoke/song","226"
"Search","Playlists - पंजाबी","224"
,"/asteria-apg/song","223"
,"/gunna/song","223"
,"/olamide/album","223"
,"/irivera-5/likes","223"
"Search","Playlists - Inspiração","220"
"My Library","Playlists - Playlists You Might Like","220"
,"Play Album","220"
,"/el-primas/likes","219"
"Feed","Charts - Top Playlists","218"
,"/hitplaymusic/song","218"
,"/bigxthaplug/song","217"
,"/rnb/recent","216"
"My Library","Profile - Articles","215"
,"/michealle-gmailcom/re-ups","214"
"Search","Playlists - Chillen","214"
,"/asakemusic/album","214"
,"/bnxn/song","214"
"Search","Playlists - لاتيني","214"
,"/sza/song","214"
"Playlists","Profile - Recent Songs","214"
,"Browse - Popular Playlists in DRC Playlists","214"
"Search","Playlists - ورزشگاه","213"
"Playlists","Profile - Re-Ups","210"
,"/mcdominick/song","210"
"Search","Playlists - Сосредоточенность","208"
,"Profile - Supported","208"
"Browse","Browse - Popular Playlists in Benin Playlists","207"
,"/heisrema/album","206"
,"/tito-double-p/song","206"
,"/usmanalex5050/likes","206"
,"/maramiskewl/likes","205"
,"/nngiang2962010/song","205"
"Search","Playlist Details","205"
"Search","Playlists - Traurig","204"
,"/tamar1/song","204"
,"/eminem/song","203"
"Search","Playlists - Women's History Month","203"
"Charts","Profile - Articles","202"
,"/eriggapaperboi/album","201"
,"Playlists - Sleep","199"
,"/tega-boi-dc/song","199"
,"/ohgeesy/album","199"
,"/yungeffissy/song","198"
,"/ajnaduploader2/song","198"
"Browse","Restore Downloads","198"
,"/the-weeknd/song","197"
"Search","Playlists - إلهام","197"
,"/brentfaiyaz/song","197"
,"/lil-uzi-vert/song","197"
,"/ubud1yyahv2/song","195"
,"/807444/likes","194"
,"/rap/albums","194"
,"/diakoaljaf17/likes","193"
,"/future/song","193"
"Search","Playlists - Elettronica","193"
"Search","Playlists - Χαλαρό","193"
,"/muhabofficial/song","191"
,"/fattmack/album","190"
"Browse","Browse - Popular Playlists in Zimbabwe Playlists","190"
,"/post-malone/album","189"
,"/emaririchard692/likes","188"
"My Library","Charts - Top Albums","188"
,"/gospel/albums","186"
,"/ethereal-dark/song","186"
,"Browse - Popular Playlists in Guinea Playlists","185"
,"/bnxn/album","185"
"My Library","Charts - Top Playlists","184"
,"/davido/album","184"
,"/qwer7y/song","183"
"Playlists","Playlists - Electronic Era","183"
,"/lil-tecca/song","183"
"Charts","Browse - Trending Albums","182"
,"/lucki/song","180"
,"/magixx/album","180"
,"/davido/song","179"
,"Browse - Top Supported","179"
,"/screwlyg/song","178"
,"/omah-lay/album","178"
,"/lilpeep/song","178"
"Search","Playlists - Uyku","177"
,"/4x_____/song","177"
,"/pierre-a-charles/likes","176"
,"/audiowhoreva/song","175"
"Search","Playlists - Nervoso","175"
"Search","Playlists - Злой","173"
"Search","Playlists - Üzgün","173"
,"/rap/recent","173"
"Search","Playlists - Valentine's Day","173"
,"/beetlejuice-24/song","172"
,"/lesserafim/album","171"
,"/rock/trending-now/songs","170"
"Search","Playlists - Karibisch","170"
,"/daniipiuu/song","169"
"Browse","Browse - Popular Playlists in Haiti Playlists","169"
,"/boidingo/song","169"
"Search","Playlists - روك","168"
,"/nle-choppa/song","167"
"Browse","Playlists - Popular Playlists in Germany","167"
"Feed","Search - Albums","166"
,"/electronic/trending-now/songs","166"
,"/dablixx-osha/song","164"
,"/lil-baby/album","164"
"Playlists","Playlists - Best of: 2023","164"
,"/evrytjjme-/song","164"
,"/yeat/album","163"
,"/masicka/song","161"
"Search","Playlists - Wütend","160"
,"/youngjonn/song","160"
,"/odetari/song","160"
"Search","Playlists - غمگین","160"
,"/bella-shmurda/album","159"
,"/cybil-bennett/song","159"
"Search","Playlists - Джаз","159"
,"/mbosso/song","159"
"Search","Playlists - Spor","158"
,"/djnaxedm/song","158"
,"/don-toliver/song","156"
,"/ken-carson/song","156"
"Playlists","Browse - Trending Songs","155"
